"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"891","RT @spiceemedia: Rodrigo #Duterte, le président qui traite #Obama de fils de pute et qui donne un permis de tuer aux citoyens https://t.co/…",FALSE,0,NA,2016-10-08 09:38:55,FALSE,NA,"784689521317318656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mathentho",6,TRUE,FALSE,NA,NA
"892","I added a video to a @YouTube playlist https://t.co/vqOXxlH26O PRESIDENT DUTERTE'S APOLOGY TO JEWISH COMMUNITY HEARTEDLY ACCEPTED -",FALSE,0,NA,2016-10-08 09:38:10,FALSE,NA,"784689331885576192",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","wardiflex",0,FALSE,FALSE,NA,NA
"893","I added a video to a @YouTube playlist https://t.co/382bwXKhye DE LIMA PRESSCON PAMORE WALANG SAWANG BATIKOS KAY PRESIDENT DUTERTE -",FALSE,0,NA,2016-10-08 09:38:10,FALSE,NA,"784689331726233600",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","wardiflex",0,FALSE,FALSE,NA,NA
"894","I added a video to a @YouTube playlist https://t.co/0sE2m3j0Kg PRESIDENT RODRIGO ROA DUTERTE SA KANYANG IKA ISANG DAANG ARAW BILANG",FALSE,0,NA,2016-10-08 09:38:10,FALSE,NA,"784689331709497345",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","wardiflex",0,FALSE,FALSE,NA,NA
"895","I added a video to a @YouTube playlist https://t.co/UufrfbYWEu PRESIDENT DUTERTE | VERY GOOD IN RATINGS OF SWS ON HIS 100 DAYS IN",FALSE,0,NA,2016-10-08 09:38:10,FALSE,NA,"784689331705307136",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","wardiflex",0,FALSE,FALSE,NA,NA
"896","A look at the 1st 100 days of Duterte's turbulent rule: In just 100 days in office, Philippine President Rodr... https://t.co/Dadfezf5Fs",FALSE,0,NA,2016-10-08 09:37:49,FALSE,NA,"784689245915000832",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","YAHOOindonesian",0,FALSE,FALSE,NA,NA
"897","RT @XHNews: Philippine President Rodrigo #Duterte tells the U.S. not to treat the #Philippines ""like a doormat"" https://t.co/RzT96KNmNc",FALSE,0,NA,2016-10-08 09:37:29,FALSE,NA,"784689160057532416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rescuejoe316",164,TRUE,FALSE,NA,NA
"898","RT @dodiesays: 100 DAYS OF DUTERTE: A look back into President Rodrigo Duterte First 100 Days https://t.co/cbf0wT8SR4 #ALDUBHappiness meral…",FALSE,0,NA,2016-10-08 09:37:19,FALSE,NA,"784689119742009344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ester_orocio",1,TRUE,FALSE,NA,NA
"899","Death Note live action (Philippine Version): President Duterte as Yagami Light",FALSE,0,NA,2016-10-08 09:36:25,FALSE,NA,"784688891424940032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","heynicoli",0,FALSE,FALSE,NA,NA
"900","RT @sandromarcos7: Can you imagine if Trump wins as US president, the conversations between him and Duterte would be unreal",FALSE,0,NA,2016-10-08 09:35:29,FALSE,NA,"784688656015425536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lainehipolito3",679,TRUE,FALSE,NA,NA
